Name,Event,OlypQualTime,OlypRecord,Final,Heat,Semi,AvgTime,SDTime,RelTime_OQT,RelTime_ORT,Podium,RelTime_OQT_LR,RelTime_ORT_LR
KAMMINGA Arno,Men's 200m Breaststroke,7830,7600,7621,7657,7719,7665.666667,49.57149719,-0.021437579,0.008566335,1,1,0
McKEOWN Kaylee,Women's 200m Backstroke,7860,7450,7508,7698,7713,7639.666667,114.2730648,-0.0288407,0.024826563,1,1,0
MASSE Kylie,Women's 200m Backstroke,7860,7450,7542,7703,7702,7649,92.66606714,-0.027585305,0.026016473,1,1,0
WHITE Rhyan Elizabeth,Women's 200m Backstroke,7860,7450,7599,7703,7648,7650,52.02883816,-0.02745098,0.026143791,0,1,0
BACON Phoebe,Women's 200m Backstroke,7860,7450,7600,7710,7630,7646.666667,56.86240703,-0.027898867,0.025719268,0,1,0
LIU Yaxin,Women's 200m Backstroke,7860,7450,7728,7716,7745,7729.666667,14.571662,-0.016861443,0.036180948,0,1,0
MATTSSON Matti,Men's 200m Breaststroke,7830,7600,7633,7724,7702,7686.333333,47.47982027,-0.018691183,0.011232057,1,1,0
FINK Nic,Men's 200m Breaststroke,7830,7600,7713,7728,7680,7707,24.55605832,-0.015959517,0.013883483,0,1,0
CHUPKOV Anton,Men's 200m Breaststroke,7830,7600,7644,7734,7734,7704,51.96152423,-0.01635514,0.013499481,0,1,0
MURA Ryuya,Men's 200m Breaststroke,7830,7600,7722,7740,7707,7723,16.52271164,-0.01385472,0.015926453,0,1,0
PENG Xuwei,Women's 200m Backstroke,7860,7450,7706,7743,7756,7735,25.94224354,-0.01616031,0.036845507,0,1,0
SEEBOHM Emily,Women's 200m Backstroke,7860,7450,7577,7750,7629,7652,88.76373133,-0.027182436,0.026398327,1,1,0
PERSSON Erik,Men's 200m Breaststroke,7830,7600,7768,7756,7756,7760,6.92820323,-0.009020619,0.020618557,0,1,0
RUCK Taylor,Women's 200m Backstroke,7860,7450,7704,7767,7753,7741.333333,33.08070938,-0.01532897,0.037633483,0,1,0
WILBY James,Men's 200m Breaststroke,7830,7600,7699,7810,7711,7740,60.91797764,-0.011627907,0.018087855,0,1,0
SCHOENMAKER Tatjana,Women's 200m Breaststroke,8700,8370,8375,8356,8373,8368,10.44030651,-0.039674952,-0.000239006,1,1,1
KING Lilly,Women's 200m Breaststroke,8700,8370,8432,8530,8547,8503,62.07253821,-0.023168294,0.015641538,1,1,0
CHIKUNOVA Evgeniia,Women's 200m Breaststroke,8700,8370,8488,8536,8457,8493.666667,39.80368492,-0.02429261,0.014559868,0,1,0
CORBETT Kaylene,Women's 200m Breaststroke,8700,8370,8526,8568,8528,8540.666667,23.69247419,-0.018655843,0.019982827,0,1,0
LAZOR Annie,Women's 200m Breaststroke,8700,8370,8484,8596,8554,8544.666667,56.58032638,-0.018178981,0.020441601,1,1,0
RENSHAW Molly,Women's 200m Breaststroke,8700,8370,8585,8619,8590,8598,18.35755975,-0.011863224,0.026517795,0,1,0
LECLUYSE Fanny,Women's 200m Breaststroke,8700,8370,8697,8622,8653,8657.333333,37.68730998,-0.004928384,0.033189589,0,1,0
WOOD Abbie,Women's 200m Breaststroke,8700,8370,8652,8653,8555,8620,56.29387178,-0.009280742,0.02900232,0,1,0
