Name,Event,Final,Heat,Semi,RoundsCompare,Time
ZHANG Yufei,Women's 100m Butterfly,3364,3382,3389,Semis vs Finals,0.007376807
ZHANG Yufei,Women's 100m Butterfly,3364,3382,3389,Heats vs Finals,0.005322295
McKEON Emma,Women's 100m Butterfly,3372,3382,3393,Semis vs Finals,0.006189213
McKEON Emma,Women's 100m Butterfly,3372,3382,3393,Heats vs Finals,0.00295683
HUSKE Torri,Women's 100m Butterfly,3373,3389,3411,Semis vs Finals,0.011140428
HUSKE Torri,Women's 100m Butterfly,3373,3389,3411,Heats vs Finals,0.004721157
HANSSON Louise,Women's 100m Butterfly,3382,3457,3452,Semis vs Finals,0.0202781
HANSSON Louise,Women's 100m Butterfly,3382,3457,3452,Heats vs Finals,0.021695111
WATTEL Marie,Women's 100m Butterfly,3387,3428,3376,Semis vs Finals,-0.003258294
WATTEL Marie,Women's 100m Butterfly,3387,3428,3376,Heats vs Finals,0.011960327
SJOESTROEM Sarah,Women's 100m Butterfly,3451,3378,3400,Semis vs Finals,-0.015
SJOESTROEM Sarah,Women's 100m Butterfly,3451,3378,3400,Heats vs Finals,-0.02161042
SHKURDAI Anastasiya,Women's 100m Butterfly,3425,3459,3439,Semis vs Finals,0.004070951
SHKURDAI Anastasiya,Women's 100m Butterfly,3425,3459,3439,Heats vs Finals,0.00982943
JACOBY Lydia,Women's 100m Breaststroke,64.95,65.52,65.72,Semis vs Finals,0.011716372
JACOBY Lydia,Women's 100m Breaststroke,64.95,65.52,65.72,Heats vs Finals,0.008699634
SCHOENMAKER Tatjana,Women's 100m Breaststroke,65.22,64.82,65.07,Semis vs Finals,-0.00230521
SCHOENMAKER Tatjana,Women's 100m Breaststroke,65.22,64.82,65.07,Heats vs Finals,-0.006170935
KING Lilly,Women's 100m Breaststroke,65.54,65.55,65.4,Semis vs Finals,-0.002140673
KING Lilly,Women's 100m Breaststroke,65.54,65.55,65.4,Heats vs Finals,1.53E-04
CHIKUNOVA Evgeniia,Women's 100m Breaststroke,65.9,66.16,66.47,Semis vs Finals,0.008575297
CHIKUNOVA Evgeniia,Women's 100m Breaststroke,65.9,66.16,66.47,Heats vs Finals,0.003929867
EFIMOVA Yuliya,Women's 100m Breaststroke,66.02,66.21,66.34,Semis vs Finals,0.004823636
EFIMOVA Yuliya,Women's 100m Breaststroke,66.02,66.21,66.34,Heats vs Finals,0.002869657
HANSSON Sophie,Women's 100m Breaststroke,66.07,65.66,65.81,Semis vs Finals,-0.003950767
HANSSON Sophie,Women's 100m Breaststroke,66.07,65.66,65.81,Heats vs Finals,-0.006244289
CARRARO Martina,Women's 100m Breaststroke,66.19,65.85,66.5,Semis vs Finals,0.004661654
CARRARO Martina,Women's 100m Breaststroke,66.19,65.85,66.5,Heats vs Finals,-0.00516325
Mc SHARRY Mona,Women's 100m Breaststroke,66.94,66.39,66.59,Semis vs Finals,-0.005256044
Mc SHARRY Mona,Women's 100m Breaststroke,66.94,66.39,66.59,Heats vs Finals,-0.00828438
McKEOWN Kaylee,Women's 200m Backstroke,124.68,128.18,127.93,Semis vs Finals,0.025404518
McKEOWN Kaylee,Women's 200m Backstroke,124.68,128.18,127.93,Heats vs Finals,0.027305352
MASSE Kylie,Women's 200m Backstroke,125.42,128.23,127.82,Semis vs Finals,0.018776404
MASSE Kylie,Women's 200m Backstroke,125.42,128.23,127.82,Heats vs Finals,0.021913749
SEEBOHM Emily,Women's 200m Backstroke,126.17,129.1,127.09,Semis vs Finals,0.007238965
SEEBOHM Emily,Women's 200m Backstroke,126.17,129.1,127.09,Heats vs Finals,0.022695585
WHITE Rhyan Elizabeth,Women's 200m Backstroke,126.39,128.23,127.28,Semis vs Finals,0.006992458
WHITE Rhyan Elizabeth,Women's 200m Backstroke,126.39,128.23,127.28,Heats vs Finals,0.014349216
BACON Phoebe,Women's 200m Backstroke,126.4,128.3,127.1,Semis vs Finals,0.005507474
BACON Phoebe,Women's 200m Backstroke,126.4,128.3,127.1,Heats vs Finals,0.014809041
RUCK Taylor,Women's 200m Backstroke,128.24,128.87,128.73,Semis vs Finals,0.003806417
RUCK Taylor,Women's 200m Backstroke,128.24,128.87,128.73,Heats vs Finals,0.004888647
PENG Xuwei,Women's 200m Backstroke,128.26,129.03,128.76,Semis vs Finals,0.003883194
PENG Xuwei,Women's 200m Backstroke,128.26,129.03,128.76,Heats vs Finals,0.005967604
LIU Yaxin,Women's 200m Backstroke,128.48,128.36,128.65,Semis vs Finals,0.001321415
LIU Yaxin,Women's 200m Backstroke,128.48,128.36,128.65,Heats vs Finals,-9.35E-04
SCHOENMAKER Tatjana,Women's 200m Breaststroke,138.95,139.16,139.33,Semis vs Finals,0.002727338
SCHOENMAKER Tatjana,Women's 200m Breaststroke,138.95,139.16,139.33,Heats vs Finals,0.001509054
KING Lilly,Women's 200m Breaststroke,139.92,142.1,142.27,Semis vs Finals,0.016517889
KING Lilly,Women's 200m Breaststroke,139.92,142.1,142.27,Heats vs Finals,0.015341309
LAZOR Annie,Women's 200m Breaststroke,140.84,142.76,141.94,Semis vs Finals,0.007749753
LAZOR Annie,Women's 200m Breaststroke,140.84,142.76,141.94,Heats vs Finals,0.013449145
CHIKUNOVA Evgeniia,Women's 200m Breaststroke,140.88,142.16,140.57,Semis vs Finals,-0.002205307
CHIKUNOVA Evgeniia,Women's 200m Breaststroke,140.88,142.16,140.57,Heats vs Finals,0.009003939
CORBETT Kaylene,Women's 200m Breaststroke,142.06,142.48,142.08,Semis vs Finals,1.41E-04
CORBETT Kaylene,Women's 200m Breaststroke,142.06,142.48,142.08,Heats vs Finals,0.002947782
RENSHAW Molly,Women's 200m Breaststroke,142.65,142.99,142.7,Semis vs Finals,3.50E-04
RENSHAW Molly,Women's 200m Breaststroke,142.65,142.99,142.7,Heats vs Finals,0.002377789
WOOD Abbie,Women's 200m Breaststroke,143.72,144.13,142.35,Semis vs Finals,-0.009624166
WOOD Abbie,Women's 200m Breaststroke,143.72,144.13,142.35,Heats vs Finals,0.002844654
LECLUYSE Fanny,Women's 200m Breaststroke,144.57,143.42,143.73,Semis vs Finals,-0.005844291
LECLUYSE Fanny,Women's 200m Breaststroke,144.57,143.42,143.73,Heats vs Finals,-0.008018407
TITMUS Ariarne,Women's 200m Freestyle,113.5,115.88,114.82,Semis vs Finals,0.011496255
TITMUS Ariarne,Women's 200m Freestyle,113.5,115.88,114.82,Heats vs Finals,0.020538488
HAUGHEY Siobhan Bernadette,Women's 200m Freestyle,113.92,116.48,115.16,Semis vs Finals,0.010767628
HAUGHEY Siobhan Bernadette,Women's 200m Freestyle,113.92,116.48,115.16,Heats vs Finals,0.021978022
OLEKSIAK Penny,Women's 200m Freestyle,114.7,115.38,116.39,Semis vs Finals,0.014520148
OLEKSIAK Penny,Women's 200m Freestyle,114.7,115.38,116.39,Heats vs Finals,0.005893569
YANG Junxuan,Women's 200m Freestyle,115.01,116.17,115.98,Semis vs Finals,0.008363511
YANG Junxuan,Women's 200m Freestyle,115.01,116.17,115.98,Heats vs Finals,0.009985366
LEDECKY Kathleen,Women's 200m Freestyle,115.21,115.28,115.34,Semis vs Finals,0.001127102
LEDECKY Kathleen,Women's 200m Freestyle,115.21,115.28,115.34,Heats vs Finals,6.07E-04
SEEMANOVA Barbora,Women's 200m Freestyle,115.45,116.38,116.14,Semis vs Finals,0.005941106
SEEMANOVA Barbora,Women's 200m Freestyle,115.45,116.38,116.14,Heats vs Finals,0.007991064
PELLEGRINI Federica,Women's 200m Freestyle,115.91,117.33,116.44,Semis vs Finals,0.0045517
PELLEGRINI Federica,Women's 200m Freestyle,115.91,117.33,116.44,Heats vs Finals,0.012102617
WILSON Madison,Women's 200m Freestyle,116.39,115.87,116.58,Semis vs Finals,0.001629782
WILSON Madison,Women's 200m Freestyle,116.39,115.87,116.58,Heats vs Finals,-0.004487788
McKEON Emma,Women's 50m Freestyle,1461,1442,1440,Semis vs Finals,-0.014583333
McKEON Emma,Women's 50m Freestyle,1461,1442,1440,Heats vs Finals,-0.013176144
SJOESTROEM Sarah,Women's 50m Freestyle,1447,1466,1453,Semis vs Finals,0.004129387
SJOESTROEM Sarah,Women's 50m Freestyle,1447,1466,1453,Heats vs Finals,0.012960437
BLUME Pernille,Women's 50m Freestyle,1461,1452,1448,Semis vs Finals,-0.008977901
BLUME Pernille,Women's 50m Freestyle,1461,1452,1448,Heats vs Finals,-0.006198347
KROMOWIDJOJO Ranomi,Women's 50m Freestyle,1470,1481,1469,Semis vs Finals,-6.81E-04
KROMOWIDJOJO Ranomi,Women's 50m Freestyle,1470,1481,1469,Heats vs Finals,0.007427414
WASICK Katarzyna,Women's 50m Freestyle,1472,1471,1466,Semis vs Finals,-0.004092769
WASICK Katarzyna,Women's 50m Freestyle,1472,1471,1466,Heats vs Finals,-6.80E-04
WU Qingfeng,Women's 50m Freestyle,1472,1495,1472,Semis vs Finals,0
WU Qingfeng,Women's 50m Freestyle,1472,1495,1472,Heats vs Finals,0.015384615
CAMPBELL Cate,Women's 50m Freestyle,1476,1455,1467,Semis vs Finals,-0.006134969
CAMPBELL Cate,Women's 50m Freestyle,1476,1455,1467,Heats vs Finals,-0.01443299
WEITZEIL Abbey,Women's 50m Freestyle,1481,1477,1459,Semis vs Finals,-0.015078821
WEITZEIL Abbey,Women's 50m Freestyle,1481,1477,1459,Heats vs Finals,-0.002708192
